policy_scope,name,sample_count,valid_24h_count,avg_abnormal_primary_24h,win_rate_primary_24h,false_positive_like_rate,matrix_status,tg_action,priority_delta,cooldown_multiplier,reason_cn
event_subtype,exploit_or_theft,12,12,-0.001314,0.3333,,weak_or_context_only,digest_only,-25.00,2.00,历史回测显示同类事件更像背景信息，优先进入早午晚报，不适合盘中反复刷。
event_subtype,macro,58,58,0.0,0.0,,weak_or_context_only,review_benchmark,-8.00,1.50,历史样本以 BTC/ETH 基准资产为主，异常收益容易被压扁；先降低盘中权重，等待非基准资产样本。
event_subtype,hack_security,7,7,-0.004822,0.1429,,insufficient_sample,review_benchmark,-8.00,1.50,历史样本以 BTC/ETH 基准资产为主，异常收益容易被压扁；先降低盘中权重，等待非基准资产样本。
event_subtype,halving,2,2,0.0,0.0,,insufficient_sample,review_benchmark,-8.00,1.50,历史样本以 BTC/ETH 基准资产为主，异常收益容易被压扁；先降低盘中权重，等待非基准资产样本。
event_subtype,institutional_flow,2,2,0.0,0.0,,insufficient_sample,review_benchmark,-8.00,1.50,历史样本以 BTC/ETH 基准资产为主，异常收益容易被压扁；先降低盘中权重，等待非基准资产样本。
event_subtype,network_upgrade,2,2,0.002001,0.5,,insufficient_sample,review_benchmark,-8.00,1.50,历史样本以 BTC/ETH 基准资产为主，异常收益容易被压扁；先降低盘中权重，等待非基准资产样本。
event_subtype,other,2,2,0.0,0.0,,insufficient_sample,review_benchmark,-8.00,1.50,历史样本以 BTC/ETH 基准资产为主，异常收益容易被压扁；先降低盘中权重，等待非基准资产样本。
event_subtype,staking_governance,2,2,-0.007946,0.0,,insufficient_sample,review_benchmark,-8.00,1.50,历史样本以 BTC/ETH 基准资产为主，异常收益容易被压扁；先降低盘中权重，等待非基准资产样本。
event_subtype,needs_taxonomy_review,9,9,0.008006,0.8889,,insufficient_sample,collect_more,-4.00,1.20,历史样本不足，先收集更多，不做强结论；盘中降低重复曝光。
event_subtype,etf_or_fund_flow,5,5,0.004692,0.8,,insufficient_sample,collect_more,-4.00,1.20,历史样本不足，先收集更多，不做强结论；盘中降低重复曝光。
event_subtype,staking_or_governance,5,5,0.101413,1.0,,insufficient_sample,collect_more,-4.00,1.20,历史样本不足，先收集更多，不做强结论；盘中降低重复曝光。
event_subtype,upgrade_or_fork,3,3,0.012761,1.0,,insufficient_sample,collect_more,-4.00,1.20,历史样本不足，先收集更多，不做强结论；盘中降低重复曝光。
event_subtype,stablecoin_supply_or_flow,2,2,0.006579,1.0,,insufficient_sample,collect_more,-4.00,1.20,历史样本不足，先收集更多，不做强结论；盘中降低重复曝光。
event_subtype,listing_delisting,1,1,0.003872,1.0,,insufficient_sample,collect_more,-4.00,1.20,历史样本不足，先收集更多，不做强结论；盘中降低重复曝光。
event_subtype,long_short_crowding_extreme,1,1,0.009794,1.0,0.0000,insufficient_sample,collect_more,-4.00,1.20,历史样本不足，先收集更多，不做强结论；盘中降低重复曝光。
event_subtype,rwa_tokenization,1,1,0.027797,1.0,,insufficient_sample,collect_more,-4.00,1.20,历史样本不足，先收集更多，不做强结论；盘中降低重复曝光。
event_subtype,token_unlock_team_large,1,1,0.109306,1.0,0.0000,insufficient_sample,collect_more,-4.00,1.20,历史样本不足，先收集更多，不做强结论；盘中降低重复曝光。
event_subtype,whale_position_static_large,1,1,0.084985,1.0,0.0000,insufficient_sample,collect_more,-4.00,1.20,历史样本不足，先收集更多，不做强结论；盘中降低重复曝光。
